"Country Name","Country Code","2015","2019","2021"
"Albania","ALB",1.1,0.3,0.3
"Argentina","ARG",1.2,1.7,1.4
"Armenia","ARM",2.9,2.4,2.1
"Australia","AUS",0.5,0.75,1
"Austria","AUT",0.7,0.6,0.5
"Azerbaiyán","AZE",0,0,0
"Bélgica","BEL",0.1,0.1,0
"Benin","BEN",61.5,33.8666666666667,27.2
"Burkina Faso","BFA",55.95,45.8333333333333,42.1
"Bangladesh","BGD",20.4333333333333,12.7,8.16666666666667
"Bulgaria","BGR",4.6,1.6,1.2
"Bosnia y Herzegovina","BIH",0.2,0.2,0.2
"Belarús","BLR",0,0,0
"Bolivia","BOL",6.2,3.1,3.1
"Brasil","BRA",5.4,7,7.5
"Bhután","BTN",3,1.56,0.52
"Canadá","CAN",0.5,0.2,0.2
"Suiza","CHE",0,0,0
"Chile","CHL",0.7,1.3,1.1
"China","CHN",3,0,0
"Côte d'Ivoire","CIV",47.5,22.1,20.9
"Camerún","CMR",28.6714285714286,27.3571428571429,26.7
"Colombia","COL",8.1,8.8,11.2
"Costa Rica","CRI",2.4,1.7,2.2
"Chipre","CYP",0,0.2,0
"República Checa","CZE",0,0,0.1
"Alemania","DEU",0,0.2,0.2
"Djibouti","DJI",28.3,25.4,25.4
"Dinamarca","DNK",0.2,0.3,0.2
"República Dominicana","DOM",3.3,1,1.3
"Ecuador","ECU",4.8,4.6,5.3
"Egipto, República Árabe de","EGY",1.2,2,1.4
"España","ESP",1.1,0.9,0.7
"Estonia","EST",0.7,0.7,0.3
"Etiopía","ETH",33,36.7333333333333,38.6
"Finlandia","FIN",0.1,0,0
"Fiji","FJI",2.63333333333333,4.7,4.7
"Francia","FRA",0.1,0.1,0.1
"Reino Unido","GBR",0.2,0.5,0.5
"Georgia","GEO",10.6,9.7,10.8
"Guinea","GIN",16.5,11.7,11.7
"Gambia","GMB",17.1,21.02,22
"Guinea-Bissau","GNB",51.575,38.0333333333333,39.9
"Grecia","GRC",2,1,0.7
"Guatemala","GTM",8.18888888888889,8.94444444444444,9.32222222222222
"Honduras","HND",19.9,18.8,17.9
"Croacia","HRV",0.7,0.4,0.3
"Hungría","HUN",1,0.9,0.9
"Indonesia","IDN",21.6,10.8,8.6
"India","IND",19.1727272727273,11.2454545454545,7.28181818181818
"Irlanda","IRL",0.4,0.1,0.1
"Irán, República Islámica del","IRN",3,4.3,3.7
"Islandia","ISL",0,0.1,0.1
"Israel","ISR",0.5,1,0.7
"Italia","ITA",2.1,1,0.9
"Jamaica","JAM",1.27857142857143,0.733333333333333,1.4
"Jordania","JOR",0.1,0.1,0.1
"Japón","JPN",0.4,1.2,1.2
"Kazajstán","KAZ",0.1,0.1,0
"Kenya","KEN",37.7,43.06,46.4
"Kirguistán","KGZ",11,4.9,5.6
"Corea, República de","KOR",0.2,0.2,0.2
"República Democrática Popular Lao","LAO",18.7,15.7,15.7
"Sri Lanka","LKA",4.45,2.7,2.7
"Lituania","LTU",1,0.6,0.3
"Luxemburgo","LUX",0.3,0.1,0.1
"Letonia","LVA",1,0.3,0.5
"República de Moldova","MDA",0.1,0,0.2
"Madagascar","MDG",61.5,53,51.3
"Maldivas","MDV",1.95714285714286,0,0
"México","MEX",5.8,4.1,3.3
"Macedonia del Norte","MKD",7,3.9,3.9
"Malí","MLI",40.7,31.6333333333333,36.1
"Malta","MLT",0.1,0.3,0.1
"Montenegro","MNE",3.6,2.5,2.5
"Mongolia","MNG",1.35,1.375,0.725
"Mozambique","MOZ",61.5,53,51.3
"Mauritania","MRT",11.4,10.2,10.2
"Malawi","MWI",61.5,53,51.3
"Malasia","MYS",0.1,0,0
"Níger","NER",59.975,53,51.3
"Nigeria","NGA",35.8,36.1,39.9
"Nicaragua","NIC",6.6,6.6,6.6
"Países Bajos","NLD",0.1,0.1,0.1
"Noruega","NOR",0.2,0.2,0.2
"Pakistán","PAK",16.9,16.5,16.5
"Panamá","PAN",4.8,2.9,3.3
"Perú","PER",8,5.4,5.2
"Filipinas","PHL",14.6,8.23333333333333,8.1
"Polonia","POL",0.5,0.1,0.1
"Portugal","PRT",0.7,0.2,0.3
"Paraguay","PRY",4.2,2.4,1.9
"Ribera Occidental y Gaza","PSE",1.2,1.7,1.9
"Rumania","ROU",7.6,3.1,2
"Federación de Rusia","RUS",0.4,0.3,0.2
"Rwanda","RWA",61.5,53,45.8
"Senegal","SEN",33.7571428571429,18.7,17.9
"El Salvador","SLV",5.3,3,5.1
"Serbia","SRB",8.4,2.7,1.7
"República Eslovaca","SVK",0.8,0.2,0.3
"Eslovenia","SVN",0,0,0
"Suecia","SWE",0.6,0.4,0.6
"República Árabe Siria","SYR",7.61538461538462,12.6923076923077,15.2307692307692
"Chad","TCD",43.3142857142857,41.3,40.1
"Togo","TGO",61.5,34.8666666666667,34.4
"Tailandia","THA",0.1,0.1,0
"Tayikistán","TJK",13.3,10.5,9.1
"Tonga","TON",4,1.6,0.4
"Túnez","TUN",0.7,0.7,0.7
"Turquía","TUR",1.3,1.3,0.9
"Tanzanía","TZA",51.3857142857143,51.3,51.3
"Uganda","UGA",59.125,53,51.3
"Ucrania","UKR",0.3,0.2,0
"Uruguay","URY",0.2,0.1,0.2
"Estados Unidos","USA",1.2,1,0.5
"Uzbekistán","UZB",34.0333333333333,14.2777777777778,4.4
"Venezuela","VEN",9.7,9.7,9.7
"Viet Nam","VNM",2.95,1.75,1.45
"Kosovo","XKX",2.4,11.3,25
"Sudáfrica","ZAF",31.2,31.2,31.2
"Zambia","ZMB",61.5,53,51.3
